dataset,seed,k,auc,max_occ
wiki-elec,51,256,0.9008258297379765,1135
wiki-elec,51,512,0.9008277226170545,1135
wiki-elec,51,1024,0.9008280009816247,1135
wiki-rfa,42,1,0.8932895686382568,1758
wiki-rfa,42,2,0.8960521311571766,1758
wiki-rfa,42,4,0.8969605251145889,1758
wiki-rfa,42,8,0.8973121159364474,1758
wiki-rfa,42,16,0.8975494656280765,1758
wiki-rfa,42,32,0.8975858578668263,1758
wiki-rfa,42,64,0.8975750701002438,1758
wiki-rfa,42,128,0.8975629079759644,1758
wiki-rfa,42,256,0.8975469428344951,1758
wiki-rfa,42,512,0.8975500492594273,1758
wiki-rfa,42,1024,0.8975497292035253,1758
wiki-rfa,43,1,0.8884177341770434,106293
wiki-rfa,43,2,0.8904943698307324,106293
wiki-rfa,43,4,0.8916354726691933,106293
wiki-rfa,43,8,0.8917040964199656,106293
wiki-rfa,43,16,0.8918110327449005,106293
wiki-rfa,43,32,0.8918775855457182,106293
wiki-rfa,43,64,0.8918551251521183,106293
wiki-rfa,43,128,0.891874328506244,106293
wiki-rfa,43,256,0.8918773031434517,106293
wiki-rfa,43,512,0.891881614484721,106293
wiki-rfa,43,1024,0.8918806543170148,106293
wiki-rfa,44,1,0.8860055669770537,102708
wiki-rfa,44,2,0.8880299864516572,102708
wiki-rfa,44,4,0.8886807354078843,102708
wiki-rfa,44,8,0.889034528967422,102708
wiki-rfa,44,16,0.8892542002771646,102708
wiki-rfa,44,32,0.8893303547550451,102708
wiki-rfa,44,64,0.8893028676011007,102708
wiki-rfa,44,128,0.889287768493249,102708
wiki-rfa,44,256,0.8892949603376371,102708
wiki-rfa,44,512,0.8892904230745545,102708
wiki-rfa,44,1024,0.8892896511750259,102708
wiki-rfa,45,1,0.8813298138229169,6351
wiki-rfa,45,2,0.8854900039858256,6351
wiki-rfa,45,4,0.8862610374807864,6351
wiki-rfa,45,8,0.8870058828722291,6351
wiki-rfa,45,16,0.8870112108616581,6351
wiki-rfa,45,32,0.887083562322349,6351
wiki-rfa,45,64,0.8870900575744798,6351
wiki-rfa,45,128,0.8870885514290581,6351
wiki-rfa,45,256,0.8870842212609709,6351
wiki-rfa,45,512,0.8870842024341531,6351
